,Id,Regiao,Data_Inicio,Andar,Elevador,Max_Ocup,Tipologia,Ar_Condicionado,Num_Reservas,Valor_FLH
173,365098,Lisboa,2016-09-12,1,,6,T3,1,75,31409.245
174,374125,Lisboa,2016-10-24,3,,4,T1 Duplex,0,88,3300.976
175,375128,Lisboa,2016-11-02,3,1.0,4,T1,0,62,2777.257
176,376131,Lisboa,2016-11-07,2,,4,T2,1,71,5783.631
177,379140,Lisboa,2016-11-23,5,1.0,4,T2,1,79,7730.891
178,380143,Lisboa,2016-11-23,2,1.0,2,T1,0,88,5471.732
179,381146,Lisboa,2016-12-05,2,,4,T2,0,64,4150.461
180,382149,Lisboa,2016-12-05,3,,4,T1,0,72,4667.103
181,383152,Lisboa,2016-12-05,2,,4,T1,0,74,4250.841
182,384155,Lisboa,2016-12-05,3,,4,T2,0,82,5827.15
183,120618,Lisboa,2019-11-26,4,1.0,4,T1,0,1,295.162
184,16951,Lisboa,2015-02-13,2,,6,T3,0,72,2616.782
185,171516,Lisboa,2015-06-06,4,1.0,4,T2,0,82,3740.072
186,175528,Lisboa,2015-06-17,0,,4,T2,0,59,2180.437
187,177534,Lisboa,2015-06-08,2,0.0,6,T3,1,68,6204.044
188,118555,Lisboa,2019-10-21,3,,4,T2,0,1,239.743
189,118558,Lisboa,2019-11-04,5,1.0,4,T2,1,2,287.154
190,118570,Lisboa,2019-11-07,1,,4,T2 Duplex,0,1,156.597
191,127384,Lisboa,2014-07-04,1,1.0,6,T3,0,44,1520.176
192,130393,Lisboa,2014-06-07,1,1.0,4,T0,0,84,4853.87
193,137414,Lisboa,2014-04-15,2,,4,T2,0,82,3816.722
194,13942,Lisboa,2015-03-04,3,1.0,6,T3,0,27,2194.857
195,140423,Lisboa,2018-03-14,3,,6,T3,0,32,3270.771
196,149450,Lisboa,2014-07-29,2,,3,T1,0,88,4634.063
197,187564,Lisboa,2015-07-18,3,,6,T3,0,63,2405.214
198,160483,Lisboa,2015-05-15,0,,4,T1,0,66,2266.439
199,18957,Lisboa,2015-03-23,0,0.0,6,T2,1,72,3344.453
200,189570,Lisboa,2017-05-31,3,,5,T3,0,67,5493.88
201,211636,Lisboa,2013-01-01,8,1.0,4,T2,1,41,3997.427
202,212639,Lisboa,2013-01-01,5,,3,T1,0,82,3962.56
203,213642,Lisboa,2015-04-29,1,,4,T2,0,54,3975.748
204,214645,Lisboa,2015-04-04,3,,6,T2,0,80,4638.361
205,215648,Lisboa,2013-01-01,1,1.0,2,T1,1,48,4093.432
206,218657,Lisboa,2013-01-01,-1,1.0,6,T3,1,44,3181.024
207,219660,Lisboa,2013-01-01,1,1.0,2,T0,1,62,2971.367
208,220663,Lisboa,2015-09-25,1,,3,T1 Duplex,0,68,2824.85
209,225678,Lisboa,2015-09-23,2,,4,T1,0,80,3307.22
210,101048,Lisboa,2019-06-26,2,1.0,4,T0,1,44,1883.588
211,101051,Lisboa,2019-06-26,2,1.0,4,T0,1,39,1798.405
212,100303,Lisboa,2014-11-20,2,,4,T2,0,72,6075.02
213,101039,Lisboa,2019-06-12,2,,8,T4,0,16,2137.212
214,101042,Lisboa,2019-06-18,1,1.0,6,T3,0,6,708.47
215,102081,Lisboa,2019-07-08,6,1.0,4,T2,1,30,1443.918
216,102084,Lisboa,2019-07-08,3,1.0,4,T1,1,30,1723.589
217,102063,Lisboa,2019-07-03,0,,4,T2,1,1,31.717
218,102066,Lisboa,2019-07-03,2,1.0,3,T1,0,4,302.127
219,100003,Lisboa,2019-05-28,1,1.0,4,T1,1,23,1896.034
220,106201,Lisboa,2019-08-01,2,,4,T2,0,3,126.203
221,106204,Lisboa,2019-08-05,0,,4,T2,0,26,1374.954
222,107231,Lisboa,2019-09-16,0,,3,T1,1,20,749.511
223,107234,Lisboa,2019-09-16,1,,3,T1,1,15,641.774
224,107237,Lisboa,2019-09-16,2,,3,T1,1,11,507.549
225,107240,Lisboa,2019-09-16,3,,3,T1,1,24,888.706
226,108243,Lisboa,2019-09-16,2,1.0,6,T3,0,5,450.492
227,108246,Lisboa,2019-09-16,1,1.0,4,T1,0,7,853.293
228,108249,Lisboa,2019-09-16,2,1.0,4,T1,0,10,839.027
229,108252,Lisboa,2019-09-16,5,1.0,6,T2,1,10,1347.15
230,108255,Lisboa,2019-09-20,4,,4,T2,1,10,1257.165
231,108258,Lisboa,2019-09-24,2,1.0,4,T2,1,9,903.854
232,117537,Lisboa,2019-10-07,0,,4,T2,0,1,26.992
233,705118,Lisboa,2018-05-24,1,,3,T2,0,81,3735.753
234,707124,Lisboa,2018-06-01,3,1.0,2,T1,1,71,4624.879
235,708127,Lisboa,2018-06-02,0,,4,T1,1,79,5110.413
236,709130,Lisboa,2018-06-03,3,,6,T3,0,75,4882.598
237,690073,Lisboa,2018-05-15,1,1.0,6,T3,1,31,6344.226
238,691076,Lisboa,2018-05-16,4,1.0,3,T1,1,89,4913.727
239,695088,Lisboa,2018-05-16,2,1.0,2,T1,1,86,4521.405
240,696091,Lisboa,2018-05-17,1,1.0,9,T6,0,8,1619.394
241,697094,Lisboa,2018-05-17,2,1.0,8,T5,0,7,1128.281
242,698097,Lisboa,2018-05-17,3,1.0,9,T5,0,12,2180.787
243,699100,Lisboa,2018-05-17,4,1.0,9,T5,0,31,5417.251
244,701106,Lisboa,2018-05-23,0,,4,T2,0,90,5170.487
245,702109,Lisboa,2018-05-23,1,,4,T1,0,83,4380.859
246,673022,Lisboa,2018-05-02,0,,2,T0,0,66,3368.904
247,674025,Lisboa,2018-05-03,5,1.0,4,T1,1,97,4640.524
248,677034,Lisboa,2018-05-09,1,,4,T1,0,8,2118.403
249,679040,Lisboa,2018-05-10,2,,4,T1,1,75,1824.823
250,680043,Lisboa,2018-05-14,4,1.0,4,T1,1,64,5358.101
251,683052,Lisboa,2018-05-14,4,1.0,4,T1,1,60,5012.539
252,656971,Lisboa,2018-03-30,2,,3,T2,0,29,4903.668
253,658977,Lisboa,2018-04-03,0,,4,T2,0,88,1732.829
254,659980,Lisboa,2018-04-05,2,1.0,4,T2,1,55,8119.293
255,668007,Lisboa,2018-04-27,5,,4,T1,0,55,4072.859
256,669201,Lisboa,2014-01-21,3,,4,T1,0,2,315.0
257,639920,Lisboa,2018-03-12,5,1.0,4,T2,1,26,2796.353
258,640923,Lisboa,2018-03-12,2,1.0,4,T2,1,81,5338.403
259,642929,Lisboa,2018-03-13,2,,6,T3 Duplex,1,44,4447.177
260,647944,Lisboa,2018-03-24,2,,4,T3,0,65,4265.954
261,611836,Lisboa,2018-01-22,2,,4,T2,1,68,3972.549
262,617854,Lisboa,2018-02-14,3,1.0,4,T2,0,79,4277.231
263,604815,Lisboa,2018-01-11,4,1.0,2,T1,1,69,3477.404
264,621866,Lisboa,2018-02-15,3,,4,T2,0,79,5479.019
265,601806,Lisboa,2018-01-04,3,1.0,4,T1,0,66,4962.489
266,559680,Lisboa,2017-10-23,4,1.0,3,T1,1,83,7452.781
267,558677,Lisboa,2017-10-20,3,,4,T1,0,54,2613.492
268,597794,Lisboa,2017-12-22,2,,5,T2,1,77,4837.56
269,530593,Lisboa,2017-08-30,1,,3,T1,0,78,4272.569
270,532599,Lisboa,2017-08-31,5,,4,T2,0,32,1914.815
271,527584,Lisboa,2017-08-24,2,1.0,3,T1,1,44,4032.259
272,510533,Lisboa,2017-07-21,0,,4,T1,0,91,6266.337
273,537614,Lisboa,2017-09-06,4,1.0,4,T2,1,84,8357.258
274,547644,Lisboa,2017-09-15,0,,4,T2,1,40,3887.667
275,565698,Lisboa,2017-11-13,0,,4,T0,1,92,4496.107
276,566701,Lisboa,2017-11-13,3,,4,T1,0,40,1775.396
277,567704,Lisboa,2017-11-14,3,1.0,4,T2,1,76,8548.827
278,568707,Lisboa,2017-11-14,3,1.0,4,T2,1,72,8989.883
279,570713,Lisboa,2017-11-16,4,,5,T3,0,67,2015.489
280,571716,Lisboa,2017-11-16,3,1.0,4,T2,0,47,1859.305
281,581746,Lisboa,2017-11-29,3,,5,T3,0,34,3703.21
282,583752,Lisboa,2017-12-06,2,1.0,6,T3,1,63,5527.277
283,585758,Lisboa,2017-12-06,2,1.0,4,T1,1,81,4891.782
284,586761,Lisboa,2017-12-06,5,1.0,6,T2,1,81,8319.64
285,587764,Lisboa,2017-12-13,2,1.0,2,T1,0,60,3596.838
286,588767,Lisboa,2017-12-13,3,1.0,2,T1,1,72,4477.34
287,481446,Lisboa,2017-06-09,4,,4,T2,1,51,3148.964
288,453362,Lisboa,2017-05-08,2,,4,T2,0,82,6072.346
289,456371,Lisboa,2017-05-23,0,,2,T0,0,62,3056.039
290,469410,Lisboa,2017-05-31,2,,3,T0,1,100,4224.381
291,470413,Lisboa,2017-06-01,3,1.0,4,T2,1,23,5155.248
292,493482,Lisboa,2017-06-29,7,1.0,4,T1,0,73,3938.879
293,498497,Lisboa,2017-07-10,0,0.0,3,T1,1,75,4467.239
294,499150,Lisboa,2014-01-17,0,,6,T3 Duplex,0,35,4777.255
295,499500,Lisboa,2017-07-10,2,1.0,4,T2,1,91,6285.496
296,501506,Lisboa,2017-07-10,1,,4,T2,1,80,4707.493
297,504515,Lisboa,2017-07-18,3,,2,T1,0,53,4153.499
298,508527,Lisboa,2017-07-18,4,1.0,4,T2,1,91,8026.165
299,459380,Lisboa,2017-05-23,2,,2,T1,0,83,3223.731
300,461386,Lisboa,2017-05-25,1,,6,T3,1,70,6252.89
301,464395,Lisboa,2017-05-25,1,,2,T0,0,59,2611.959
302,465398,Lisboa,2017-05-25,2,,2,T0,0,68,2778.601
303,466401,Lisboa,2017-05-25,3,,2,T0,0,21,995.911
304,447344,Lisboa,2017-05-03,1,,4,T1,0,93,4127.039
305,429290,Lisboa,2017-04-17,1,,4,T2,1,76,4822.265
306,430293,Lisboa,2017-04-19,0,,4,T1,0,94,4434.535
307,408227,Lisboa,2017-02-27,2,1.0,4,T1,1,59,3118.318
308,424275,Lisboa,2017-04-10,0,0.0,6,T2,1,63,6955.053
309,425278,Lisboa,2017-04-10,1,,3,T1,0,86,3187.87
310,749250,Lisboa,2018-08-06,2,,6,T2,0,88,6614.363
311,756271,Lisboa,2018-08-23,3,1.0,4,T1,1,81,6376.594
312,757274,Lisboa,2018-08-23,2,1.0,4,T1,1,77,5395.558
313,751256,Lisboa,2018-08-17,1,1.0,3,T2,0,51,3331.909
314,752259,Lisboa,2018-08-17,1,1.0,6,T3,1,59,4562.061
315,753262,Lisboa,2018-08-17,4,1.0,4,T2,1,79,8058.75
316,754265,Lisboa,2018-08-20,7,1.0,4,T2,1,63,3956.197
317,740223,Lisboa,2018-07-30,1,,4,T2,0,63,4114.369
318,746241,Lisboa,2018-08-03,3,,4,T2,1,78,5609.933
319,747244,Lisboa,2018-08-06,3,,4,T2,0,60,4215.722
320,742229,Lisboa,2018-07-31,3,,2,T0,0,79,2969.218
321,743232,Lisboa,2018-07-31,3,,2,T0,0,82,3314.395
322,635908,Lisboa,2018-03-06,1,,4,T3,0,63,4719.393
323,712139,Lisboa,2018-06-11,3,,4,T2,1,81,4963.616
324,729219,Lisboa,2014-07-24,2,,2,T0,0,60,2719.535
325,733202,Lisboa,2018-07-19,3,1.0,4,T2,1,65,6278.538
326,734205,Lisboa,2018-07-19,4,1.0,4,T2,1,53,6935.866
327,735208,Lisboa,2018-07-23,0,,6,T2,0,81,6480.012
328,722169,Lisboa,2018-07-03,4,,4,T2,0,53,4913.867
329,723172,Lisboa,2018-07-03,1,,4,T1,0,69,3074.274
330,724175,Lisboa,2018-07-11,4,1.0,2,T0,1,74,3617.208
331,725178,Lisboa,2018-07-11,5,1.0,2,T0,1,67,3557.736
332,870613,Lisboa,2018-11-26,7,1.0,6,T3,0,43,3017.287
333,871616,Lisboa,2018-11-29,5,1.0,4,T2,1,2,1963.08
334,872619,Lisboa,2018-11-29,0,,2,T1,1,72,4401.117
335,873622,Lisboa,2018-11-30,0,,4,T1,0,84,4207.7
336,874625,Lisboa,2018-11-30,1,,4,T2,0,61,4171.846
337,875628,Lisboa,2018-11-30,1,,4,T2,0,67,5165.076
338,876631,Lisboa,2018-11-30,2,,4,T2,1,36,2975.231
339,877634,Lisboa,2018-12-03,4,1.0,5,T2,1,85,7841.26
340,878637,Lisboa,2018-12-07,0,,3,T1,0,78,4165.175
341,879640,Lisboa,2018-12-11,3,,2,T0,0,78,3394.097
342,880643,Lisboa,2018-12-13,2,,4,T2,0,80,1617.469
